feature_id	source_population_variance_log1p_cpm	source_mean_log1p_cpm	source_scale_log1p_cpm
CLDN5	0.5486506223678589	0.9691996400840438	0.7407095485043932
GBP7	0.5474706888198853	0.6940689410343481	0.7399126214934347
NOG	0.5460742712020874	1.705094801397616	0.7389683919160572
OASL	0.5419660210609436	1.7297438083937342	0.7361834082306212
IFI6	0.5403046011924744	4.877820884587664	0.7350541450496542
CENPK	0.5368806719779968	3.355117152020392	0.7327214217728804
CRIP1	0.5323023796081543	5.279756039951953	0.7295905546102819
EIF5AL1	0.5253412127494812	2.369734414007472	0.7248042382895106
XAF1	0.5244996547698975	3.788268527765384	0.7242234875810657
NR4A2	0.5203755497932434	3.688966103897241	0.7213705882842858
MYOM2	0.519425630569458	1.8565671023737882	0.7207118939573516
LAMP3	0.5129214525222778	0.8215414305356727	0.7161853586762873
AREG	0.5103289484977722	1.4132873293197932	0.7143730989297334
XIST	0.5050536394119263	5.191083443575892	0.7106712727529534
LINC00513	0.4990082085132599	2.7563792711473516	0.706405122341007
HERC5	0.4977763295173645	2.834982692966973	0.7055326582229641
FAM13A	0.49123331904411316	3.198485795565492	0.7008803862515052
RGS16	0.4798903465270996	1.210889973631307	0.6927411921020875
LMNA	0.4798600971698761	2.7314722652179526	0.6927193546437511
FAM118A	0.47851744294166565	3.2101431742481803	0.6917495548604455
COL18A1	0.4758394956588745	1.8819452926116884	0.6898112135338548
LINC02446	0.4740666151046753	2.025604507589706	0.6885249622899008
HERC6	0.47294411063194275	2.3940930471566446	0.6877093175408635
OAS3	0.4713429808616638	2.20676412048011	0.6865442341160662
CHRNA1	0.47083795070648193	0.9391756191335875	0.6861763242725893
SOCS2	0.46881887316703796	2.6306986521030296	0.6847034844039486
MT1E	0.4683181345462799	2.0222516272259856	0.6843377363495041
FHIT	0.4649503231048584	4.215374746085127	0.6818726614896752
S100B	0.4639604091644287	1.7194988122388322	0.6811463919277039
ETV7	0.4631313383579254	0.9897623573968694	0.6805375449159331
IGFLR1	0.460814505815506	1.9307031730810802	0.6788331867419497
DUSP4	0.4604669511318207	1.9577090568926143	0.678577159515373
CELA1	0.46035486459732056	2.1607674238097165	0.6784945592945626
ESR2	0.4582501947879791	0.9042067430713624	0.6769417939099223
ZBTB16	0.45774057507514954	1.8086027046273039	0.6765652784730735
LRRN3	0.45536476373672485	2.600872590624053	0.6748071938794622
NMUR1	0.4542026221752167	0.9281767103749673	0.6739455546033352
HNRNPA1L2	0.45396772027015686	3.2180203062364425	0.6737712568348471
GSTM3	0.447607159614563	2.222031372831242	0.6690345034201971
JCHAIN	0.44744789600372314	2.5638164400597643	0.6689154639252806
TNFRSF4	0.4467966556549072	3.437189966782756	0.6684284998149859
DST	0.4406912624835968	1.4477347511212943	0.6638458231144626
TGM1	0.4406834542751312	0.606541069388618	0.6638399376983577
NPDC1	0.4401102066040039	2.956753645820179	0.663408022841542
CFH	0.43851199746131897	1.443609855069968	0.6622023861804804
TSIX	0.4366266131401062	1.355341999809404	0.6607772688231647
KDM5D	0.43606680631637573	0.21936056351867214	0.6603535504383137
CTLA4	0.43519750237464905	1.8831863412455123	0.6596950177632736
FUT7	0.4347197115421295	1.602649953687328	0.659332785742232
PAM16	0.43358978629112244	1.1281839224342185	0.6584753437828498
TNFRSF18	0.4287852644920349	2.4494672824139796	0.6548169708502691
TTN	0.42686590552330017	2.507400868496219	0.6533497561905269
CRYBB2	0.4237361252307892	0.5239245226728049	0.6509501814674371
TIGIT	0.4227660298347473	2.940933137104429	0.6502046082572931
HLA-G	0.42099136114120483	1.0105466408176897	0.6488384797746171
GADD45G	0.41819828748703003	1.6738477716957472	0.6466825298314935
CD70	0.4094170033931732	1.1666972789042753	0.6398570087747856
CITED4	0.40877997875213623	1.8620739903486552	0.6393590415451909
CXCL8	0.40686169266700745	2.497043470313266	0.637857116529275
DDX60	0.40623167157173157	2.7568731664241044	0.637363061359608
CDO1	0.40549516677856445	0.45933689628067603	0.6367850300603837
CHN1	0.40325117111206055	1.783988370064118	0.6350206019785659
LINC01116	0.4015830457210541	1.9906672042905142	0.6337058027929823
ICA1	0.3966873288154602	2.1202408876912346	0.6298312006362072
CCDC144A	0.39588356018066406	1.1981975312890678	0.6291927831668771
PMAIP1	0.3940812349319458	3.6881151386604456	0.6277588868989079
PRR7-AS1	0.39243432879447937	0.7860578264884108	0.6264457913327416
IFNG	0.3918255567550659	1.5125030582892027	0.625959697260939
ADTRP	0.391620397567749	3.2995963471145924	0.6257958202563151
