dataset_id	repeat	split_seed	method	roc_auc	pr_auc	brier
SLE_GSE135779	14	20260814	PCA pseudobulk	0.9641873278236914	0.9899922095044044	0.15160453987142
SLE_GSE135779	15	20260815	Frozen Geneformer	0.9008264462809916	0.9706266560474234	0.1837623947785728
SLE_GSE135779	15	20260815	Mean-HVG pseudobulk	0.9586776859504132	0.9885188337619626	0.1675433245476732
SLE_GSE135779	15	20260815	PCA pseudobulk	0.9696969696969696	0.9906208763300792	0.1874965450822688
SLE_GSE135779	16	20260816	Frozen Geneformer	0.9090909090909092	0.9703460563976252	0.1922664720049317
SLE_GSE135779	16	20260816	Mean-HVG pseudobulk	0.9614325068870524	0.9885691944515472	0.1605016678137714
SLE_GSE135779	16	20260816	PCA pseudobulk	0.9393939393939394	0.9820742390401832	0.18062014002527
SLE_GSE135779	17	20260817	Frozen Geneformer	0.9201101928374656	0.974675698345712	0.2031654156559201
SLE_GSE135779	17	20260817	Mean-HVG pseudobulk	0.9421487603305784	0.9836217220381442	0.1551611638302838
SLE_GSE135779	17	20260817	PCA pseudobulk	0.9641873278236917	0.9894934190388736	0.1855822672605307
SLE_GSE135779	18	20260818	Frozen Geneformer	0.9118457300275482	0.9717553776569708	0.1951550207002205
SLE_GSE135779	18	20260818	Mean-HVG pseudobulk	0.9008264462809916	0.9697763786901964	0.1864815454298228
SLE_GSE135779	18	20260818	PCA pseudobulk	0.9090909090909092	0.9736057695885528	0.2108789722279249
SLE_GSE135779	19	20260819	Frozen Geneformer	0.9146005509641874	0.9738071045196652	0.1692415726163097
SLE_GSE135779	19	20260819	Mean-HVG pseudobulk	0.9669421487603306	0.9903829966329966	0.1449803292811995
SLE_GSE135779	19	20260819	PCA pseudobulk	0.9228650137741048	0.9720302950242146	0.1618781716006394
SLE_GSE135779	20	20260820	Frozen Geneformer	0.8732782369146006	0.9645551515245198	0.2148165582724729
SLE_GSE135779	20	20260820	Mean-HVG pseudobulk	0.9173553719008264	0.9753896894355836	0.153228779564829
SLE_GSE135779	20	20260820	PCA pseudobulk	0.8898071625344353	0.95266408845445	0.1990729826787991
SLE_GSE174188_CD4	1	20260801	Frozen Geneformer	0.9857214116473376	0.9913348327744717	0.0471319163382049
SLE_GSE174188_CD4	1	20260801	Mean-HVG pseudobulk	0.970133433096396	0.9812546026375164	0.0724309020203282
SLE_GSE174188_CD4	1	20260801	PCA pseudobulk	0.9608429978800348	0.9795147213459664	0.1479038301704867
SLE_GSE174188_CD4	2	20260802	Frozen Geneformer	0.9809826661678512	0.9873057935484428	0.0626178127135275
SLE_GSE174188_CD4	2	20260802	Mean-HVG pseudobulk	0.9822920563661304	0.9899480506979694	0.0650862008350461
SLE_GSE174188_CD4	2	20260802	PCA pseudobulk	0.9740616036912332	0.9860216460635896	0.0940466815877816
SLE_GSE174188_CD4	3	20260803	Frozen Geneformer	0.9794238683127572	0.98747272822051	0.0667468433969188
SLE_GSE174188_CD4	3	20260803	Mean-HVG pseudobulk	0.9814191295672776	0.988807214067146	0.0696741854543817
SLE_GSE174188_CD4	3	20260803	PCA pseudobulk	0.959471255767552	0.9766224827646728	0.1069510430473627
SLE_GSE174188_CD4	4	20260804	Frozen Geneformer	0.9815438333956852	0.9888844444501268	0.0591017991352723
SLE_GSE174188_CD4	4	20260804	Mean-HVG pseudobulk	0.9748721785758822	0.9866087573856268	0.0665429620873991
SLE_GSE174188_CD4	4	20260804	PCA pseudobulk	0.955480733258511	0.9722535010757728	0.1134477891976894
SLE_GSE174188_CD4	5	20260805	Frozen Geneformer	0.98079561042524	0.9877407307975236	0.0534907535579021
SLE_GSE174188_CD4	5	20260805	Mean-HVG pseudobulk	0.9782391819428856	0.987375706756124	0.0796157113483353
SLE_GSE174188_CD4	5	20260805	PCA pseudobulk	0.9726275096645468	0.9821962546092304	0.0953038675490458
SLE_GSE174188_CD4	6	20260806	Frozen Geneformer	0.9817308891382964	0.988564877362448	0.0623137746082173
SLE_GSE174188_CD4	6	20260806	Mean-HVG pseudobulk	0.9809203142536476	0.9891812656571812	0.0676044440956703
SLE_GSE174188_CD4	6	20260806	PCA pseudobulk	0.981606185309889	0.9891724533375456	0.0822761675166007
SLE_GSE174188_CD4	7	20260807	Frozen Geneformer	0.975433345803716	0.9826505942676974	0.0600724109745548
SLE_GSE174188_CD4	7	20260807	Mean-HVG pseudobulk	0.9824791121087416	0.9890629125441	0.0655751850212211
SLE_GSE174188_CD4	7	20260807	PCA pseudobulk	0.9702581369248036	0.9838117915672996	0.126278655255221
SLE_GSE174188_CD4	8	20260808	Frozen Geneformer	0.9777403666292556	0.9868936047206182	0.0718313878906402
SLE_GSE174188_CD4	8	20260808	Mean-HVG pseudobulk	0.9801097393689986	0.9881409616081844	0.0704303597476931
SLE_GSE174188_CD4	8	20260808	PCA pseudobulk	0.9668287816435964	0.979804583324592	0.1096915121098371
SLE_GSE174188_CD4	9	20260809	Frozen Geneformer	0.977865070457663	0.9864495837044376	0.065772397786576
SLE_GSE174188_CD4	9	20260809	Mean-HVG pseudobulk	0.9780521262002744	0.988214365976292	0.0718088520604499
SLE_GSE174188_CD4	9	20260809	PCA pseudobulk	0.969322858211747	0.982934697908427	0.1084839279669616
SLE_GSE174188_CD4	10	20260810	Frozen Geneformer	0.982977927422372	0.989137807895528	0.0520761119865382
SLE_GSE174188_CD4	10	20260810	Mean-HVG pseudobulk	0.9771791994014216	0.9865958225597836	0.0715414022735096
SLE_GSE174188_CD4	10	20260810	PCA pseudobulk	0.957101883027809	0.9683737606889856	0.1395376229363576
SLE_GSE174188_CD4	11	20260811	Frozen Geneformer	0.9844120214490584	0.9913716440797148	0.0534161097082053
SLE_GSE174188_CD4	11	20260811	Mean-HVG pseudobulk	0.9759321611173464	0.986475853381472	0.0660085635533294
