variant	stratum	control_type	draw	repeat	seed	n_donors	n_cases	roc_auc
clr_plus_log_cells	pure_wave_4	size_label_matched	1	1	20260801	66	25	0.9297560975609757
clr_plus_log_cells	pure_wave_4	size_label_matched	2	2	20260802	66	25	0.9092682926829269
clr_plus_log_cells	pure_wave_4	size_label_matched	3	3	20260803	66	25	0.8975609756097561
clr_plus_log_cells	pure_wave_4	size_label_matched	4	4	20260804	66	25	0.8790243902439024
clr_plus_log_cells	pure_wave_4	size_label_matched	5	5	20260805	66	25	0.8702439024390244
clr_plus_log_cells	pure_wave_4	size_label_matched	6	6	20260806	66	25	0.728780487804878
clr_plus_log_cells	pure_wave_4	size_label_matched	7	7	20260807	66	25	0.9102439024390244
clr_plus_log_cells	pure_wave_4	size_label_matched	8	8	20260808	66	25	0.8839024390243904
clr_plus_log_cells	pure_wave_4	size_label_matched	9	9	20260809	66	25	0.958048780487805
clr_plus_log_cells	pure_wave_4	size_label_matched	10	10	20260810	66	25	0.9590243902439025
clr_plus_log_cells	pure_wave_4	size_label_matched	11	11	20260811	66	25	0.921951219512195
clr_plus_log_cells	pure_wave_4	size_label_matched	12	12	20260812	66	25	0.9151219512195121
clr_plus_log_cells	pure_wave_4	size_label_matched	13	13	20260813	66	25	0.8946341463414634
clr_plus_log_cells	pure_wave_4	size_label_matched	14	14	20260814	66	25	0.9248780487804877
clr_plus_log_cells	pure_wave_4	size_label_matched	15	15	20260815	66	25	0.871219512195122
clr_plus_log_cells	pure_wave_4	size_label_matched	16	16	20260816	66	25	0.8673170731707317
clr_plus_log_cells	pure_wave_4	size_label_matched	17	17	20260817	66	25	0.9151219512195122
clr_plus_log_cells	pure_wave_4	size_label_matched	18	18	20260818	66	25	0.9053658536585365
