dim,mean,var,zero_frac
150,-0.82886535,0.0004627104,0.0
151,0.024786117,0.0005021165,3.5536350132550586e-06
152,-0.0575457,0.00051984354,0.0
153,-0.002959618,0.00034943243,3.5536350132550586e-06
154,-0.48561496,0.00049998355,0.0
155,0.6828361,0.0013956395,0.0
156,-0.10615193,0.00035405773,0.0
157,-0.18337905,0.0007844498,0.0
158,0.98979795,0.00029764007,0.0
159,-0.021255782,0.00055531674,0.0
160,-0.12478037,0.0008021073,0.0
161,-0.4534971,0.0006088227,0.0
162,0.092330806,0.0003780513,0.0
163,-0.17388758,0.0005531348,0.0
164,-0.06863406,0.0006979393,0.0
165,0.20728034,0.0007673566,0.0
166,0.06490241,0.0007470593,0.0
167,0.07808598,0.0011609661,0.0
168,0.08644273,0.00056182116,0.0
169,-0.057415962,0.00065263425,0.0
170,0.08285913,0.0005978131,0.0
171,-0.09597674,0.00071691774,0.0
172,-0.088791974,0.00044986885,0.0
173,-0.028487623,0.00035959762,0.0
174,0.1522412,0.0004106956,0.0
175,-0.1413983,0.00035726634,0.0
176,-0.0053701918,0.00037065474,0.0
177,0.9434045,0.0003146472,0.0
178,-0.008337704,0.00041271892,0.0
179,-0.04084265,0.00051168515,0.0
180,-0.17766502,0.0003004604,0.0
181,0.06930967,0.00052972906,0.0
182,0.16400565,0.00040564084,0.0
183,-0.19303825,0.0006719586,0.0
184,0.12953602,0.0003856682,0.0
185,-0.079243094,0.0005215136,0.0
186,0.12191083,0.00052120845,0.0
187,0.1769718,0.0004108695,0.0
188,-0.032274462,0.00031528698,0.0
189,-1.9872144,0.0008484875,0.0
190,-0.10017534,0.00050830236,0.0
191,0.012081916,0.0013203986,0.0
192,0.095603496,0.0011772896,0.0
193,0.10740066,0.0003971496,0.0
194,0.14666975,0.00038210442,0.0
195,-0.0014399063,0.0004004763,3.5536350132550586e-06
196,0.0952897,0.0005996522,0.0
197,-0.08060663,0.00078376295,0.0
198,0.0030441224,0.00086836255,0.0
199,-0.05450445,0.0010129339,0.0
200,0.013057627,0.001016076,0.0
201,-0.33766383,0.00035584767,0.0
202,-0.08285822,0.0007143497,0.0
203,0.08198001,0.0007392334,0.0
204,-0.07216633,0.0010220696,0.0
205,-0.0009367226,0.0011309234,0.0
206,-0.1724048,0.0005957167,0.0
207,0.0014762,0.0007497448,0.0
208,0.0013828585,0.00040462223,0.0
209,-0.03189941,0.0006567637,0.0
210,-0.14749983,0.00087738864,0.0
211,-0.07133094,0.00032367324,0.0
212,0.017940192,0.0003655638,0.0
213,0.16853637,0.0013417355,0.0
214,-0.013386869,0.00087457657,0.0
215,0.09298132,0.0011010033,0.0
216,-0.022849789,0.0003150897,0.0
217,-0.13474882,0.0013440219,0.0
218,-0.10376245,0.0009577375,0.0
219,-0.8362764,0.0007616051,0.0
220,-0.22645393,0.00116868,0.0
221,0.08591896,0.00033830522,0.0
222,0.093494266,0.0010002608,0.0
223,-0.26233628,0.0008827702,0.0
224,-0.12380467,0.00041069693,0.0
225,0.047460712,0.00036015752,0.0
226,-0.1518933,0.0014523081,0.0
